Date,Temperature ©,Turbidity (mg/l),pH,Dissolved Oxygen (mg/l),Dissolved Solids (mg/l)
29-11-18,22,14,7.64,5.9,241
30-11-18,23,16,7.29,5.6,210
1/1/2019,18,13,7.23,5.4,249
2/1/2019,17,14,7.45,5.2,231
3/1/2019,16,15,7.19,5.6,270
4/1/2019,14,11,7.32,5.3,219
5/1/2019,14,13,7.42,5.4,230
6/1/2019,14,12,7.23,5.5,220
7/1/2019,13,14,7.42,5.3,230
8/1/2019,13,12,7.23,5.7,210
9/1/2019,13,15,7.38,5.4,231
10/1/2019,14,13,7.22,5.5,216
11/1/2019,13,12,7.49,5.2,241
12/1/2019,14,15,7.19,5.5,210
13-01-19,13,12,7.39,5.3,225
14-01-19,14,15,7.49,5.7,230
15-01-19,13,12,7.25,6.1,217
16-01-19,14,15,7.79,6.4,235
17-01-19,13,12,7.79,6.1,212
18-01-19,13,10,7.33,6.2,225
19-01-19,12,11,7.19,6.3,235
20-01-19,9,13,7.21,5.4,287
21-01-19,9,11,6.9,5.6,312
22-01-19,13,10,7.15,5.8,216
23-01-19,13,14,7.31,5.9,245
24-01-19,12,39,7.45,5.7,224
25-01-19,12,14,7.22,5.8,235
26-01-19,13,12,7.38,5.6,227
27-01-19,13,10,7.51,5.8,241
28-01-19,12,14,7.18,5.9,225
29-01-19,12,16,7.51,5.8,240
30-01-19,12,13,7.9,5.9,270
31-01-19,12,15,7.51,5.6,230
1/2/2019,12,12,7.15,5.9,234
2/2/2019,13,15,7.18,5.8,272
3/2/2019,12,12,7.31,5.9,240
4/2/2019,13,16,7.29,5.8,260
5/2/2019,13,12,7.45,5.9,241
6/2/2019,12,15,7.39,5.8,214
7/2/2019,12,11,7.14,5.7,251
8/2/2019,12,14,7.45,5.9,199
9/2/2019,13,18,7.29,5.6,220
10/2/2019,12,14,7.45,5.8,214
11/2/2019,12,14,7.39,5.9,195
12/2/2019,12,17,7.59,5.8,220
13-02-19,13,12,7.63,5.7,224
16-02-19,13,14,7.41,5.9,210
17-02-19,14,18,7.59,5.8,230
18-02-19,14,12,7.48,5.9,209
19-02-19,12,15,7.39,5.8,230
20-02-19,13,12,7.42,5.9,210
21-02-19,13,10,7.38,6.2,218
22-02-19,13,15,7.15,5.9,230
23-02-19,14,12,7.51,5.7,197
24-02-19,14,15,7.15,5.9,230
25-02-19,12,12,7.69,5.8,241
26-02-19,14,10,7.45,5.9,216
27-02-19,13,12,7.15,5.8,240
28-02-19,13,11,7.1,5.6,225
1/3/2019,12,13,7.45,5.9,199
2/3/2019,12,10,7.19,5.8,210
3/3/2019,12,14,7.45,5.9,224
4/3/2019,13,10,7.19,5.8,235
5/3/2019,12,13,7.45,5.9,211
6/3/2019,12,6,7.4,5.7,220
7/3/2019,12,8,7.15,5.9,210
8/3/2019,14,9,7.8,5.8,230
9/3/2019,14,12,7.22,5.9,271
10/3/2019,14,10,7.33,5.8,199
11/3/2019,14,13,7.21,5.9,240
12/3/2019,13,15,7.61,5.6,210
13-03-19,14,12,7.45,5.9,245
14-03-19,14,15,7.69,5.8,220
15-03-19,14,10,7.61,5.9,240
16-03-19,12,14,7.41,5.8,219
17-03-19,13,11,7.49,5.9,235
18-03-19,13,14,7.29,5.8,240
19-03-19,12,11,7.45,5.9,220
20-03-19,14,15,7.23,5.8,246
21-03-19,14,12,7.21,5.6,235
22-03-19,14,10,7.16,5.9,233
23-03-19,14,9,7.12,6.1,243
24-03-19,14,10,7.16,6.2,223
25-03-19,14,6,7.08,6.1,242
26-03-19,14,5.2,7.16,5.8,233
27-03-19,14,6.7,7.1,5.9,230
28-03-19,14,7.71,7.31,6.4,220
29-03-19,14,7.46,7.2,6.1,230
30-03-19,14,5,7.46,5.8,237
31-03-19,14,6,7.4,5.9,230
1/4/2019,14,4,7.35,6.2,220
2/4/2019,14,6,7.3,6.1,230
3/4/2019,14,8,7.2,5.6,228
4/4/2019,14,7,7.16,5.9,225
5/4/2019,14,5,7.1,6,228
6/4/2019,14,7,7.16,6.2,220
7/4/2019,14,5,7.19,6,230
8/4/2019,17,11,7.33,6.1,216
9/4/2019,17,13,7.55,6.3,224
10/4/2019,17,10,7.22,6.1,211
11/4/2019,16,9,7.49,6.4,230
12/4/2019,17,12,7.42,6.1,240
13-04-19,17,10,7.51,6.2,280
14-04-19,16,8,7.5,5.9,275
15-04-19,16,10,7.31,6.1,245
16-04-19,17,11,7.61,6.5,234
17-04-19,17,10,7.53,6.2,217
18-04-19,17,13,7.39,6.4,199
19-04-19,18,15,7.69,6.1,231
20-04-19,18,10,7.36,6.4,211
21-04-19,18,13,7.19,6.1,217
22-04-19,18,15,7.69,6.5,246
23-04-19,18,12,7.63,6.2,214
24-04-19,18,10,7.45,6.4,246
25-04-19,18,15,7.23,6.7,295
26-04-19,18,14,7.83,6.4,219
27-04-19,18,10,7.39,5.8,225
28-04-19,18,8,7.28,5.6,220
29-04-19,19,11,7.73,5.9,199
30-04-19,19,15,7.39,5.8,245
1/5/2019,19,8,7.3,5.6,230
2/5/2019,20,12,7.29,5.9,285
3/5/2019,19,15,7.45,6.3,246
4/5/2019,20,12,7.39,6.1,270
5/5/2019,21,16,7.61,6.4,205
6/5/2019,22,14,7.98,5.8,224
7/5/2019,19,18,7.39,6.2,240
8/5/2019,22,14,7.15,6.5,270
9/5/2019,25,10,7.39,6.1,240
10/5/2019,24,16,7.73,6.4,295
11/5/2019,25,12,7.39,6.1,246
12/5/2019,25,17,7.61,6.5,214
13-05-19,25,15,7.39,6.4,280
15-05-19,24,15,7.23,6.2,220
16-05-19,25,17,7.73,6.3,241
17-05-19,25,13,7.42,6.2,211
18-05-19,24,11,7.73,6.4,320
19-05-19,26,15,7.61,6.1,297
20-05-19,26,10,7.29,5.9,260
21-05-19,25,14,7.82,6.4,305
22-05-19,26,17,7.73,6.2,249
23-05-19,26,12,7.34,6.2,395
24-05-19,26,10,7.15,6.5,314
25-05-19,26,12,7.73,6.1,291
26-05-19,26,10,7.2,6.3,270
27-05-19,26,14,7.39,6.2,244
28-05-19,25,16,7.39,6.5,310
29-05-19,26,12,7.15,6.2,246
30-05-19,25,14,7.31,6.4,267
31-05-19,25,17,7.49,6.1,214
1/6/2019,26,13,7.39,6.4,248
2/6/2019,21,9,7.26,6.7,230
3/6/2019,24,18,7.95,6.8,392
4/6/2019,21,11,7.16,6.2,220
5/6/2019,21,10,7.12,6.5,240
6/6/2019,21,9,7.2,6.3,250
7/6/2019,21,9.4,7.16,6.6,245
8/6/2019,21,7.4,7.22,6.4,220
9/6/2019,21,8.2,7.16,6.5,244
10/6/2019,26,13,7.45,6.2,249
11/6/2019,25,18,7.49,6.7,274
12/6/2019,25,22,7.65,6.4,234
13-06-19,26,27,7.39,6.2,246
14-06-19,26,29,7.59,6.7,274
15-06-19,28,26,7.45,6.9,230
16-06-19,27,30,7.25,6.4,290
17-06-19,26,33,7.9,6.7,324
18-06-19,26,30,7.83,6.8,296
19-06-19,26,26,7.8,6.6,280
20-06-19,27,22,7.39,6.4,219
21-06-19,23,25,8.39,5.8,224
22-06-19,23,20,7.39,5.9,246
23-06-19,24,27,7.31,5.7,360
24-06-19,25,29,7.19,5.9,270
25-06-19,24,32,7.49,5.7,240
26-06-19,27,24,7.18,5.9,246
27-06-19,26,27,7.41,5.6,280
28-06-19,24,22,7.33,5.8,230
29-06-19,25,28,7.59,5.9,246
30-06-19,24,40,7.51,5.8,216
1/7/2019,26,45,7.29,5.9,290
2/7/2019,26,40,7.15,5.8,225
3/7/2019,27,48,7.9,5.9,270
4/7/2019,26,33,7.29,5.8,234
5/7/2019,26,23,7.5,5.9,260
6/7/2019,28,45,7.15,5.8,360
7/7/2019,28,22,7.3,5.9,291
8/7/2019,28,40,7.3,5.8,218
9/7/2019,27,49,7.4,5.8,241
10/7/2019,29,46,7.15,5.8,280
10/7/2019,26,49,7.84,5.9,310
15-07-19,29,49,7.8,5.9,335
16-07-19,27,42,7.3,5.6,270
17-07-19,27,45,7.3,5.9,290
18-07-19,27,50,7.49,5.7,316
19-07-19,27,60,7.45,5.9,295
20-07-19,27,52,7.73,5.8,320
21-07-19,27,48,7.39,5.9,296
22-07-19,28,52,7.49,5.7,299
23-07-19,28,50,7.4,5.9,285
24-07-19,27,46,7.3,5.8,266
25-07-19,26,60,7.53,5.9,330
26-07-19,26,111,7.31,5.8,291
27-07-19,27,70,7.79,5.9,267
28-07-19,27,43,7.24,5.8,248
29-07-19,28,36,7.54,5.7,290
30-07-19,28,32,7.49,5.9,266
31-07-19,27,30,7.39,5.8,295
1/8/2019,28,26,7.15,5.9,265
2/8/2019,28,38,7.59,5.6,317
3/8/2019,28,45,7.78,5.9,229
4/8/2019,28,60,7.15,6.5,230
5/8/2019,27,88,7.45,5.9,240
6/8/2019,27,232,7.29,5.3,335
7/8/2019,28,220,7.45,5.7,295
11/8/2019,28,224,7.4,5.8,290
12/8/2019,28,220,7.26,5.8,283
13-08-19,28,140,7.2,5.6,275
14-08-19,28,1400,7.16,5.9,260
15-08-19,28,650,7.12,5.6,275
16-08-19,28,350,7.26,5.9,260
18-08-19,28,200,7.31,5.6,250
19-08-19,28,152,7.15,5.9,224
20-08-19,29,140,7.18,5.6,296
21-08-19,27,120,7.9,5.7,280
22-08-19,27,80,7.82,5.9,291
23-08-19,27,60,7.45,5.6,280
24-08-19,28,48,7.49,5.9,240
25-08-19,28,42,7.89,5.6,196
26-08-19,27,40,7.23,5.9,214
27-08-19,25,38,7.29,5.8,241
28-08-19,26,34,7.49,5.9,264
29-08-19,26,38,7.15,5.7,240
30-08-19,24,40,7.49,5.9,216
31-08-19,26,42,7.62,5.6,246
1/9/2019,27,32,7.48,5.9,390
2/9/2019,27,30,7.8,5.6,323
3/9/2019,27,25,7.15,5.9,230
4/9/2019,27,22,7.31,5.6,211
5/9/2019,27,20,7.15,5.9,216
6/9/2019,26,18,7.29,5.8,235
7/9/2019,25,15,7.19,5.9,214
8/9/2019,26,18,7.35,5.6,240
9/9/2019,25,20,7.39,5.9,260
10/9/2019,26,24,7.51,5.8,246
11/9/2019,26,29,7.29,5.9,280
12/9/2019,26,22,7.19,5.6,270
13-09-19,26,27,7.95,5.9,217
14-09-19,25,19,7.15,5.7,240
15-09-19,25,15,7.45,5.8,290
16-09-19,24,18,7.15,5.9,243
17-09-19,27,22,7.45,5.6,260
18-09-19,24,20,7.53,5.9,295
19-09-19,24,15,7.55,5.7,230
20-09-19,23,17,7.39,5.9,230
23-09-19,24,35,7.1,5.7,220
24-09-19,25,28,7.4,5.9,260
25-09-19,26,50,7.36,5.7,240
26-09-19,24,47,7.59,5.9,266
26-09-19,,,,,
27-09-19,24,40,7.46,5.6,295
28-09-19,24,58,7.82,5.7,324
29-09-19,24,53,8.41,5.9,291
30-09-19,23,48,7.29,5.7,270
1/10/2019,24,44,7.49,5.9,249
2/10/2019,23,40,7.59,6.1,232
3/10/2019,24,44,7.45,5.9,260
4/10/2019,24,29,7.29,5.7,428
5/10/2019,23,29,7.63,5.8,370
6/10/2019,24,35,7.45,5.6,349
7/10/2019,24,30,7.15,5.9,310
8/10/2019,24,29,7.51,5.6,273
9/10/2019,24,39,7.31,5.9,241
10/10/2019,24,24,7.15,5.7,285
11/10/2019,25,30,7.39,5.9,246
12/10/2019,24,27,7.61,5.6,349
13-10-19,22,33,7.45,5.9,295
14-10-19,22,38,7.51,5.7,249
15-10-19,22,30,7.45,5,216
16-10-19,24,28,7.19,5.9,241
17-10-19,23,25,7.45,5.6,210
18-10-19,22,40,7.88,5.8,249
19-10-19,24,35,7.41,5.9,215
20-10-19,24,30,7.4,5.4,220
21-10-19,24,32,7.35,5.6,230
22-10-19,24,30,7.3,5.9,225
23-10-19,24,26,7.2,5.4,220
24-10-19,24,20,7.7,5.9,235
25-10-19,24,18,7.66,5.8,230
26-10-19,24,21,7.4,5.9,220
27-10-19,24,20,7.3,6.1,230
28-10-19,24,18,7.3,6,220
29-10-19,22,16,7.2,5.6,235
30-10-19,18,14,7.2,5.4,230
31-10-19,18,17,7.26,5.9,228
1/11/2019,20,19,7.61,5.7,210
2/11/2019,21,25,7.45,5.9,249
3/11/2019,20,29,7.8,5.7,212
4/11/2019,21,25,7.49,5.9,280
5/11/2019,22,29,7.3,5.6,240
6/11/2019,21,23,7.45,5.6,214
7/11/2019,22,20,7.15,5.9,240
8/11/2019,22,40,7.41,5.7,274
9/11/2019,27,50,7.11,5.4,485
10/11/2019,23,122,7.39,5.9,319
11/11/2019,22,70,7.7,5.7,270
12/11/2019,23,70,7.4,5.9,285
13-11-19,20,40,7.2,5.6,285
14-11-19,20,25,7.5,5.9,234
15-11-19,20,28,7.4,5.9,240
16-11-19,20,25,7.7,5.6,230
17-11-19,20,20,7.6,5.9,240
18-11-19,20,28,7.46,6.1,230
19-11-19,20,23,7.4,5.9,60
20-11-19,20,20,7.4,5.9,240
21-11-19,20,12,7.4,5.6,230
22-11-19,20,20,7.4,5.9,240
25-11-19,20,20,7.7,5.9,220
26-11-19,20,22,7.5,6.1,240
27-11-19,20,20,7.4,6.2,235
28-11-19,20,18,7.26,5.8,220
29-11-19,20,22,7.4,5.9,213
30-11-19,20,20,7.6,6.1,230
1/12/2019,20,18,7.5,6.2,220
2/12/2019,20,22,7.15,5.9,274
3/12/2019,20,21,7.2,5.7,474
4/12/2019,18,25,7.15,5.6,410
5/12/2019,19,22,7.33,6.3,299
6/12/2019,18,20,7.14,5.8,260
7/12/2019,18,19,7.25,5.9,314
8/12/2019,19,15,7.4,5.6,267
9/12/2019,18,17,7.4,5.8,380
10/12/2019,18,20,7.39,5.4,364
11/12/2019,17,16,7.15,5.9,270
12/12/2019,18,19,7.45,6.2,314
13-12-19,17,25,7.3,5.9,219
14-12-19,16,20,7.14,5.3,256
15-12-19,16,24,7.39,5.9,219
16-12-19,15,20,7.15,5.6,205
17-12-19,14,17,7.39,5.8,216
18-12-19,15,16,7.14,5.9,198
19-12-19,16,15,7.45,5.8,191
20-12-19,16,14,7.15,5.9,199
21-12-19,16,17,7.53,5.7,225
22-12-19,16,13,7.6,5.9,180
23-12-19,16,18,7.29,5.7,190
24-12-19,16,15,7.39,5.9,170
25-12-19,13,12,7.15,5.7,190
26-12-19,13,14,7.31,5.9,264
27-12-19,12,12,7.39,5.7,240
28-12-19,12,15,7.15,5.9,219
29-12-19,13,18,7.49,5.6,245
30-12-19,12,16,7.18,5.9,216
1/1/2020,12,15,7.39,5.7,246
2/1/2020,13,15,7.41,5.7,295
3/1/2020,14,19,7.45,5.9,244
4/1/2020,14,15,7.29,6.4,219
5/1/2020,14,12,7.49,6.1,230
6/1/2020,14,20,7.19,6.4,315
7/1/2020,14,22,7.49,6.1,214
8/1/2020,14,25,7.17,6.7,270
9/1/2020,15,19,7.41,6.3,289
10/1/2020,13,15,7.23,6.6,219
11/1/2020,13,18,7.39,6.3,266
12/1/2020,14,19,7.28,6.8,419
13-01-20,14,19,7.27,6.5,366
14-01-20,15,23,7.29,6.3,276
15-01-20,15,18,7.39,6.1,329
16-01-20,13,25,7.33,6.4,260
17-01-20,13,29,7.69,6.8,316
18-01-20,12,14,7.22,6.3,260
19-01-20,12,18,7.39,6.1,246
20-01-20,13,15,7.43,6.4,266
21-01-20,14,12,7.23,6.1,249
22-01-20,14,15,7.45,6.4,216
23-01-20,15,17,7.29,6.2,314
24-01-20,15,12,7.42,6.7,216
25-01-20,15,19,7.49,6.1,219
26-01-20,14,15,7.29,6.4,234
27-01-20,15,12,7.25,5.9,219
28-01-20,14,17,7.31,5.7,199
29-01-20,15,16,7.49,6.4,219
30-01-20,16,12,7.19,6.1,225
31-01-20,16,15,7.45,6.7,216
1/2/2020,15,12,7.31,6.1,208
2/2/2020,16,20,7.7,6.4,345
3/2/2020,17,22,7.88,6.4,230
4/2/2020,15,19,7.41,5.9,290
5/2/2020,15,17,7.39,5.8,216
6/2/2020,16,13,7.52,6.3,290
7/2/2020,14,12,7.22,6.7,246
8/2/2020,15,17,7.45,6.8,295
9/2/2020,15,12,7.59,6.2,249
10/2/2020,16,14,7.63,6.1,219
11/2/2020,15,11,7.27,6.3,226
12/2/2020,14,15,7.19,6.5,211
13-02-20,14,17,7.45,6.1,240
14-02-20,12,15,7.25,6.5,246
15-02-20,13,18,7.2,6.4,276
16-02-20,14,15,7.25,6.1,246
17-02-20,13,16,7.4,6.2,270
18-02-20,14,19,7.32,6.4,246
19-02-20,15,15,7.45,6.3,217
20-02-20,16,18,7.33,5.8,249
21-02-20,15,18,7.49,6.4,360
22-02-20,15,16,7.4,6.2,370
23-02-20,16,18,7.29,6.3,260
24-02-20,14,16,7.49,6.1,296
25-02-20,15,18,7.52,6.4,249
26-02-20,16,15,7.29,6.3,234
27-02-20,15,17,7.21,6.7,244
28-02-20,16,14,7.93,6.2,226
29-02-20,16,18,7.23,6.4,247
1/3/2020,16,15,7.23,6.1,219
2/3/2020,16,14,7.45,6.4,245
3/3/2020,15,16,7.49,6.2,220
4/3/2020,17,19,7.78,6.7,270
5/3/2020,16,15,7.39,6.2,260
6/3/2020,18,14,7.53,6.5,290
7/3/2020,17,19,7.23,6.1,249
8/3/2020,15,14,7.45,6.3,285
9/3/2020,16,18,7.17,6.5,217
10/3/2020,15,17,7.29,6.1,241
11/3/2020,16,14,7.23,6.4,217
12/3/2020,15,18,7.29,6.1,280
13-03-20,18,20,7.63,6.2,320
14-03-20,15,13,7.15,6.7,297
15-03-20,16,16,7.2,6.4,230
16-03-20,15,12,7.21,6.1,295
17-03-20,17,10,7.49,6.4,264
18-03-20,16,14,7.15,6.1,245
19-03-20,15,17,7.29,6.4,221
20-03-20,17,18,7.18,6.1,240
21-03-20,16,20,7.29,6.4,266
22-03-20,16,17,7.29,5.9,216
23-03-20,17,15,7.45,6.7,275
24-03-20,16,20,7.39,5.7,295
25-03-20,15,16,7.28,5.4,270
26-03-20,16,18,7.39,5.7,244
27-03-20,15,16,7.14,5.8,234
28-03-20,16,20,7.49,5.9,249
29-03-20,18,25,7.69,5.4,274
30-03-20,18,20,7.33,5.9,245
31-03-20,19,19,7.49,5.7,270
1/4/2020,20,25,7.19,5.7,241
2/4/2020,22,20,7.38,5.9,214
3/4/2020,20,15,7.29,6.1,240
4/4/2020,19,18,7.33,5.8,219
5/4/2020,18,21,7.38,5.8,234
6/4/2020,17,25,7.3,5.9,246
7/4/2020,19,23,7.29,5.8,230
8/4/2020,20,25,7.45,5.6,245
9/4/2020,21,27,7.19,5.9,219
10/4/2020,22,22,7.35,5.2,230
11/4/2020,20,15,7.29,5.9,260
12/4/2020,19,18,7.49,5.7,219
13-04-20,18,15,7.23,5.8,286
14-04-20,17,18,7.29,5.2,246
15-04-20,16,15,7.49,5.7,225
16-04-20,17,14,7.49,5.9,228
17-04-20,19,18,7.25,5.7,219
18-04-20,20,21,7.53,5.9,249
19-04-20,20,23,7.69,5.6,219
20-04-20,21,20,7.24,5.9,246
21-04-20,20,18,7.19,5.7,219
22-04-20,19,20,7.29,5.8,246
23-04-20,20,17,7.49,5.9,224
24-04-20,21,19,7.23,5.8,266
25-04-20,20,15,7.45,5.6,235
26-04-20,18,19,7.17,5.9,249
27-04-20,19,22,7.29,5.8,211
28-04-20,18,17,7.19,5.9,246
29-04-20,20,22,7.45,5.6,219
30-04-20,22,20,7.39,5.8,225
1/5/2020,20,25,7.23,5.9,280
2/5/2020,21,19,7.14,5.7,242
3/5/2020,20,24,7.29,5.9,249
4/5/2020,22,38,7.45,5.6,230
5/5/2020,20,17,7.21,5.9,229
6/5/2020,21,20,7.29,5.7,219
7/5/2020,22,25,7.45,5.9,240
8/5/2020,23,20,7.63,5.6,297
9/5/2020,24,23,7.29,5.8,390
10/5/2020,23,20,7.27,5.9,309
11/5/2020,24,27,7.45,5.8,285
12/5/2020,24,22,7.45,5.9,295
13-05-20,25,20,7.45,5.7,249
14-05-20,25,24,7.69,5.9,390
15-05-20,24,20,7.45,5.7,320
16-05-20,25,23,7.66,5.9,299
17-05-20,24,26,7.49,5.7,260
18-05-20,24,22,7.4,5.5,250
19-05-20,24,20,7.3,5.9,280
20-05-20,24,16,7.1,5.5,270
21-05-20,24,18,7.16,5.9,275
22-05-20,24,16,7.1,5.8,290
23-05-20,24,12,7.9,6,295
24-05-20,23,10,7.1,5.8,293
25-05-20,23,12,7.12,6,315
26-05-20,23,14,7.18,6.1,320
27-05-20,23,11,7.2,5.9,323
28-05-20,23,8,7.16,5.8,325
29-05-20,23,10,7.22,5.6,316
30-05-20,20,15,7.19,5.8,334
31-05-20,21,18,7.39,5.9,290
1/6/2020,20,16,7.52,5.7,249
2/6/2020,25,19,7.45,5.9,225
3/6/2020,24,33,7.29,5.8,230
4/6/2020,25,40,7.29,5.7,260
5/6/2020,24,36,7.25,5.6,285
6/6/2020,25,33,7.29,5.9,267
7/6/2020,26,38,7.45,5.8,249
8/6/2020,25,35,7.29,5.9,219
9/6/2020,23,29,7.39,5.7,240
10/6/2020,24,37.29,7.61,5.6,276
11/6/2020,23,29,7.29,5.9,217
